date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:17	482/482	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2025%20Apr%202025%2002:48:17%20GMT	https://pokerogue.net/robots.txt		(from )
22:48:18	7940/7940	---MCZ	200	added ('OK')	text/html	date:Thu,%2003%20Apr%202025%2004:33:37%20GMT	https://pokerogue.net/	E:/aaa/pokerogue.net/index.html	(from )
22:48:18	6198/6198	---M--	200	added ('OK')	image/png	etag:%2267a784d4-1836%22	https://pokerogue.net/logo512.png	E:/aaa/pokerogue.net/logo512.png	(from https://pokerogue.net/)
22:48:18	95224/95224	---M--	200	added ('OK')	application/octet-stream	etag:%2267ae8803-173f8%22	https://pokerogue.net/fonts/pokemon-emerald-pro.ttf	E:/aaa/pokerogue.net/fonts/pokemon-emerald-pro.ttf	(from https://pokerogue.net/)
22:48:18	26504/26504	---M--	200	added ('OK')	application/octet-stream	etag:%2267a784d8-6788%22	https://pokerogue.net/fonts/pkmnems.ttf	E:/aaa/pokerogue.net/fonts/pkmnems.ttf	(from https://pokerogue.net/)
22:48:18	558/558	---M--	200	added ('OK')	application/octet-stream	etag:%2267a784d4-22e%22	https://pokerogue.net/manifest.webmanifest	E:/aaa/pokerogue.net/manifest.webmanifest	(from https://pokerogue.net/)
22:48:19	98/98	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267a784d4-62%22	https://pokerogue.net/service-worker.js	E:/aaa/pokerogue.net/service-worker.js	(from https://pokerogue.net/)
22:48:19	7009/7009	---MCZ	200	added ('OK')	text/css	etag:W/%2267eb2a36-1b61%22	https://pokerogue.net/assets/index-BWq-_YdX.css	E:/aaa/pokerogue.net/assets/index-BWq-_YdX.css	(from https://pokerogue.net/)
22:48:20	2587610/2587610	---MCZ	200	added ('OK')	application/javascript	etag:W/%2267ee0fa1-277bda%22	https://pokerogue.net/assets/index-C51Hle0P.js	E:/aaa/pokerogue.net/assets/index-C51Hle0P.js	(from https://pokerogue.net/)
22:48:20	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2025%20Apr%202025%2002:48:20%20GMT	https://pokerogue.net/cdn-cgi/challenge-platform/scripts/jsd/main.js	E:/aaa/pokerogue.net/cdn-cgi/challenge-platform/scripts/jsd/main.7.delayed	(from https://pokerogue.net/)
22:48:21	8399/8399	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2025%20Apr%202025%2002:48:20%20GMT	https://pokerogue.net/cdn-cgi/challenge-platform/h/g/scripts/jsd/44e6f86df4dc/main.js?	E:/aaa/pokerogue.net/cdn-cgi/challenge-platform/h/g/scripts/jsd/44e6f86df4dc/maind41d.js	(from https://pokerogue.net/)
